state,title,description,tag1,tag2,tag3,tag4,tag5,tag6,Category,gender,caste,ministry,disabilityPercentage,BPL,eligibility,gov_emp,emp_status,student,occupation,appMode,docReq,FAQs,benefits,DBT,benefit_type,marital_status,differently_abled
Puducherry,"""Immediate Relief Assistance"" under ""Welfare and Relief for Fishermen During Lean Seasons and Natural Calamities Scheme""","The scheme ""Immediate Relief Assistance"" under ""Welfare and Relief for Fishermen During Lean Seasons and Natural Calamities Scheme"" is introduced to extend financial assistance to the fishermen's families to compensate for the loss due to the missing breadwinner and to support them financially.",Missing,Fisherman,Relief,Financial Assistance,Family,,agriculture,Male,any,Agriculture,0,yes,The applicant should be the family (legal heir) of the missing fisherman; The missing fisherman should have been a resident of the Union Territory of Puducherry; The missing fisherman must have lost his/her life while fishing; The missing fisherman must have been in the age group of 18-60 years; The missing fisherman must not have been a beneficiary of the old age pension scheme; The missing fisherman should have enrolled as a member of the Fishermen/Fisherwomen Co-operative Society.,no,any,yes,Farmer,offline,Aadhaar Card; Voter ID; Income Certificate; Caste Certificate; Death Certificate; FIR Copy,,1000,yes,cash,married,no
Puducherry,"""Annual Insurance Premium for Boat Owners"" under ""Financial Assistance for Availing Subsidy Components for the Development of Marine Fisheries""","""Annual Insurance Premium for Boat Owners"" under ""Financial Assistance for Availing Subsidy Components for the Development of Marine Fisheries"" is introduced to increase marine fish production through subsidies for the annual premiums for insurance coverage paid by the mechanized boat operators.",Insurance,Boat,Marine,Fisheries,Fisherman,,agriculture,all,GEN,Agriculture,0,any,Eligible applicants must be registered fishermen who rely on fishing as their primary occupation; A valid fishing license and proof of residence in coastal or inland fishing zones is mandatory; Applicants must not own large commercial fishing vessels; Preference will be given to traditional fishermen using non-mechanized boats; Beneficiaries must not have received financial assistance for fishing equipment in the past two years.,no,any,yes,Farmer,online,Bank Passbook,,1000,no,both,single,no
Puducherry,"""Back Ended Investment Subsidy to Paddy Growers"" component of the ""Crop Production Technology"" scheme","""Back Ended Investment Subsidy to Paddy Growers"" component of the ""Crop Production Technology"" scheme was introduced by the Dept of Agriculture and Farmer's Welfare, UT of Puducherry. The paddy farmers residing in the Yanam region are provided a back-ended investment subsidy at ₹4,000/- per hectare.",Paddy,Subsidy,Financial Assistance,Farmer,Agriculture,,agriculture,all,GEN,Agriculture,0,yes,"Only farmers owning or leasing agricultural land in the state are eligible; Applicants must be engaged in cultivation of the crops mentioned in the scheme guidelines; A valid land ownership document, lease agreement, or registration with an agricultural cooperative is required; Priority will be given to small and marginal farmers with landholding below 5 acres; Farmers already availing subsidies for the same purpose under another scheme will be ineligible.",no,any,yes,Farmer,onlineViaCSC,Aadhaar Card; Voter ID; Income Certificate; Caste Certificate,,50000,yes,cash,married,no
Puducherry,"""Conversion/Modernisation of Mechanised Fishing Boats for Deep Sea Fishing"" under ""Financial Assistance for Availing Subsidy Components for the Development of Marine Fisheries""","The scheme ""Conversion/Modernisation of Mechanised Fishing Boats for Deep Sea Fishing"" is introduced by the Dept of Fisheries and Fishermen Welfare, Govt of Puducherry to increase marine fish production by extending grants for the conversion/modernization of mechanized boats for deep-sea fishing.",Boat,Subsidy,Fisherman,Financial Assistance,Marine,,agriculture,all,GEN,Agriculture,0,yes,Eligible applicants must be registered fishermen who rely on fishing as their primary occupation; A valid fishing license and proof of residence in coastal or inland fishing zones is mandatory; Applicants must not own large commercial fishing vessels; Preference will be given to traditional fishermen using non-mechanized boats; Beneficiaries must not have received financial assistance for fishing equipment in the past two years.,no,any,no,Farmer,online,Aadhaar Card; Voter ID; Income Certificate; Caste Certificate,,5000,no,inkind,married,no
Puducherry,"""Financial Grant for Reactivation of Mechanised Boats"" under ""Financial Assistance for Availing Subsidy Components for the Development of Marine Fisheries""","The scheme ""Financial Grant for Reactivation of Mechanised Boats"" is introduced by the Govt of Puducherry with the objective of increasing marine fish production by extending financial grants for the reactivation of wooden/steel mechanized boats.",Boat,Grant,Financial Assistance,Fisheries,Fisherman,,agriculture,all,GEN,Agriculture,0,yes,Eligible applicants must be registered fishermen who rely on fishing as their primary occupation; A valid fishing license and proof of residence in coastal or inland fishing zones is mandatory; Applicants must not own large commercial fishing vessels; Preference will be given to traditional fishermen using non-mechanized boats; Beneficiaries must not have received financial assistance for fishing equipment in the past two years.,no,any,yes,Farmer,offline,Aadhaar Card; Voter ID; Income Certificate; Caste Certificate,,5000,no,both,single,no
Puducherry,"""Fishing Ban Period Assistance"" under ""Welfare and Relief for Fishermen During Lean Seasons and Natural Calamities Scheme""","The scheme ""Fishing Ban Period Assistance"" under ""Welfare and Relief for Fishermen During Lean Seasons and Natural Calamities Scheme"" is introduced with the objective of assisting fishermen families who are deprived of income during natural calamities and fishing ban periods.",Welfare,Relief,Clothes,Fisheries,Fisherman,,agriculture,all,GEN,Agriculture,0,yes,Eligible applicants must be registered fishermen who rely on fishing as their primary occupation; A valid fishing license and proof of residence in coastal or inland fishing zones is mandatory; Applicants must not own large commercial fishing vessels; Preference will be given to traditional fishermen using non-mechanized boats; Beneficiaries must not have received financial assistance for fishing equipment in the past two years.,no,any,no,Farmer,offline,Aadhaar Card; Voter ID; Death Certificate; FIR Copy,,5000,no,inkind,any,no
Puducherry,"""Green and Eco-Friendly Measures"" under “Motivation of Entrepreneurs to Start Industries and Fiscal Assistance to Industries - State Awards to Micro, Small and Medium Enterprises”","The award for ""Green and Eco-Friendly Measures"" is conferred upon the industries that are green and eco-friendly as per the standards of the Department of Science, Technology and Environment (DSTE), Puducherry. The awardee is given a cash award of ₹2,00,000/- and a citation.",Award,Entrepreneur,MSME,Business,Environment,,agriculture,all,GEN,Agriculture,0,no,"Only farmers owning or leasing agricultural land in the state are eligible; Applicants must be engaged in cultivation of the crops mentioned in the scheme guidelines; A valid land ownership document, lease agreement, or registration with an agricultural cooperative is required; Priority will be given to small and marginal farmers with landholding below 5 acres; Farmers already availing subsidies for the same purpose under another scheme will be ineligible.",yes,selfEmp,no,Farmer,onlineViaCSC,Aadhaar Card; Voter ID; Income Certificate,,5000,no,both,single,no
Puducherry,"""Immediate Death Relief Assistance"" under ""Welfare and Relief for Fishermen During Lean Seasons and Natural Calamities Scheme""","The scheme ""Immediate Death Relief Assistance"" is introduced with the objective of extending financial assistance to the fishermen's families to compensate for the loss due to the sudden demise of the breadwinner and to support them financially to run their family.",Death,Fisherman,Relief,Financial Assistance,Family,,agriculture,all,GEN,Agriculture,0,yes,Eligible applicants must be registered fishermen who rely on fishing as their primary occupation; A valid fishing license and proof of residence in coastal or inland fishing zones is mandatory; Applicants must not own large commercial fishing vessels; Preference will be given to traditional fishermen using non-mechanized boats; Beneficiaries must not have received financial assistance for fishing equipment in the past two years.,no,any,no,Farmer,onlineViaCSC,Aadhaar Card; Voter ID; Income Certificate; Caste Certificate; Death Certificate; FIR Copy,,1000,yes,cash,any,no
Odisha,"""Input Assistance to Farmers for Taking up Fish Farming in Farm Ponds"" Component of the ""Mukhyamantri Maschyajibi Kalyan Yojana"" Scheme","The objective of this scheme is to increase the inland fish production, and to enhance the income of farmers in the State though aquaculture. Input assistance is provided to the farmers who have excavated farm ponds under MGNREGA for facilitating the production of fingerling and fish.",Farmer,Fisheries,Seed,Subsidy,Fertilizer,Pond,agriculture,all,GEN,Agriculture,0,any,"Only farmers owning or leasing agricultural land in the state are eligible; Applicants must be engaged in cultivation of the crops mentioned in the scheme guidelines; A valid land ownership document, lease agreement, or registration with an agricultural cooperative is required; Priority will be given to small and marginal farmers with landholding below 5 acres; Farmers already availing subsidies for the same purpose under another scheme will be ineligible.",no,any,yes,Farmer,offline,Income Certificate,,5000,yes,cash,married,no
Puducherry,"""Integrated Farming for Productivity Improvement Scheme"" by the Coconut Development Board","Through the “Integrated Farming for Productivity Improvement Scheme"" by the Coconut Development Board, the coconut farmers are provided financial assistance through DBT (Direct Benefit Transfer) mode for the Laying of the Demonstration Plot, and for the Construction of the Organic Manure Unit.",Manure,Construction,Farmer,Subsidy,DBT,,agriculture,all,GEN,Agriculture,0,any,"Only farmers owning or leasing agricultural land in the state are eligible; Applicants must be engaged in cultivation of the crops mentioned in the scheme guidelines; A valid land ownership document, lease agreement, or registration with an agricultural cooperative is required; Priority will be given to small and marginal farmers with landholding below 5 acres; Farmers already availing subsidies for the same purpose under another scheme will be ineligible.",no,any,yes,Farmer,onlineViaCSC,Income Certificate; Bank Passbook; Caste Certificate,,1000,yes,inkind,married,no
